t,u,y
0.000000,0.500000,0.000000
0.001000,0.499998,0.000002
0.002000,0.499990,0.000010
0.003000,0.499978,0.000022
0.004000,0.499960,0.000039
0.005000,0.499938,0.000060
0.006000,0.499911,0.000087
0.007000,0.499879,0.000117
0.008000,0.499842,0.000152
0.009000,0.499800,0.000191
0.010000,0.499753,0.000234
0.011000,0.499701,0.000281
0.012000,0.499644,0.000333
0.013000,0.499582,0.000388
0.014000,0.499515,0.000447
0.015000,0.499443,0.000510
0.016000,0.499366,0.000577
0.017000,0.499284,0.000647
0.018000,0.499197,0.000721
0.019000,0.499106,0.000798
0.020000,0.499009,0.000879
0.021000,0.498907,0.000963
0.022000,0.498800,0.001050
0.023000,0.498688,0.001140
0.024000,0.498572,0.001234
0.025000,0.498450,0.001331
0.026000,0.498323,0.001430
0.027000,0.498191,0.001533
0.028000,0.498054,0.001639
0.029000,0.497912,0.001747
0.030000,0.497766,0.001858
0.031000,0.497614,0.001972
0.032000,0.497457,0.002089
0.033000,0.497295,0.002208
0.034000,0.497128,0.002330
0.035000,0.496956,0.002454
0.036000,0.496779,0.002581
0.037000,0.496597,0.002710
0.038000,0.496410,0.002841
0.039000,0.496218,0.002975
0.040000,0.496021,0.003111
0.041000,0.495819,0.003250
0.042000,0.495612,0.003390
0.043000,0.495399,0.003532
0.044000,0.495182,0.003677
0.045000,0.494960,0.003824
0.046000,0.494733,0.003972
0.047000,0.494500,0.004123
0.048000,0.494263,0.004275
0.049000,0.494020,0.004430
0.050000,0.493773,0.004586
0.051000,0.493520,0.004744
0.052000,0.493263,0.004904
0.053000,0.493000,0.005065
0.054000,0.492733,0.005228
0.055000,0.492460,0.005393
0.056000,0.492182,0.005559
0.057000,0.491899,0.005727
0.058000,0.491612,0.005897
0.059000,0.491319,0.006068
0.060000,0.491021,0.006240
0.061000,0.490718,0.006414
0.062000,0.490410,0.006589
0.063000,0.490096,0.006766
0.064000,0.489778,0.006944
0.065000,0.489455,0.007123
0.066000,0.489127,0.007304
0.067000,0.488794,0.007485
0.068000,0.488455,0.007668
0.069000,0.488112,0.007853
0.070000,0.487763,0.008038
0.071000,0.487410,0.008225
0.072000,0.487051,0.008412
0.073000,0.486688,0.008601
0.074000,0.486319,0.008791
0.075000,0.485945,0.008982
0.076000,0.485566,0.009173
0.077000,0.485182,0.009366
0.078000,0.484794,0.009560
0.079000,0.484400,0.009755
0.080000,0.484001,0.009951
0.081000,0.483597,0.010147
0.082000,0.483188,0.010345
0.083000,0.482773,0.010543
0.084000,0.482354,0.010742
0.085000,0.481930,0.010942
0.086000,0.481501,0.011143
0.087000,0.481066,0.011344
0.088000,0.480627,0.011547
0.089000,0.480183,0.011750
0.090000,0.479733,0.011953
0.091000,0.479279,0.012158
0.092000,0.478819,0.012363
0.093000,0.478355,0.012568
0.094000,0.477885,0.012775
0.095000,0.477410,0.012982
0.096000,0.476931,0.013189
0.097000,0.476446,0.013398
0.098000,0.475956,0.013606
0.099000,0.475462,0.013816
0.100000,0.474962,0.014025
0.101000,0.474457,0.014236
0.102000,0.473947,0.014447
0.103000,0.473433,0.014658
0.104000,0.472913,0.014870
0.105000,0.472388,0.015082
0.106000,0.471858,0.015295
0.107000,0.471323,0.015508
0.108000,0.470783,0.015721
0.109000,0.470238,0.015935
0.110000,0.469688,0.016150
0.111000,0.469133,0.016365
0.112000,0.468573,0.016580
0.113000,0.468009,0.016795
0.114000,0.467439,0.017011
0.115000,0.466864,0.017227
0.116000,0.466284,0.017443
0.117000,0.465699,0.017660
0.118000,0.465109,0.017877
0.119000,0.464514,0.018094
0.120000,0.463914,0.018312
0.121000,0.463309,0.018529
0.122000,0.462700,0.018747
0.123000,0.462085,0.018966
0.124000,0.461465,0.019184
0.125000,0.460840,0.019403
0.126000,0.460211,0.019622
0.127000,0.459576,0.019841
0.128000,0.458937,0.020060
0.129000,0.458292,0.020279
0.130000,0.457643,0.020499
0.131000,0.456988,0.020718
0.132000,0.456329,0.020938
0.133000,0.455664,0.021158
0.134000,0.454995,0.021378
0.135000,0.454321,0.021598
0.136000,0.453642,0.021819
0.137000,0.452958,0.022039
0.138000,0.452269,0.022259
0.139000,0.451575,0.022480
0.140000,0.450876,0.022700
0.141000,0.450173,0.022921
0.142000,0.449464,0.023142
0.143000,0.448751,0.023362
0.144000,0.448032,0.023583
0.145000,0.447309,0.023804
0.146000,0.446581,0.024024
0.147000,0.445848,0.024245
0.148000,0.445110,0.024466
0.149000,0.444367,0.024686
0.150000,0.443619,0.024907
0.151000,0.442867,0.025128
0.152000,0.442110,0.025348
0.153000,0.441347,0.025569
0.154000,0.440580,0.025790
0.155000,0.439808,0.026010
0.156000,0.439032,0.026230
0.157000,0.438250,0.026451
0.158000,0.437463,0.026671
0.159000,0.436672,0.026891
0.160000,0.435876,0.027111
0.161000,0.435075,0.027331
0.162000,0.434270,0.027551
0.163000,0.433459,0.027771
0.164000,0.432644,0.027991
0.165000,0.431824,0.028210
0.166000,0.430999,0.028430
0.167000,0.430169,0.028649
0.168000,0.429335,0.028868
0.169000,0.428495,0.029087
0.170000,0.427651,0.029306
0.171000,0.426803,0.029525
0.172000,0.425949,0.029743
0.173000,0.425091,0.029962
0.174000,0.424228,0.030180
0.175000,0.423360,0.030398
0.176000,0.422488,0.030616
0.177000,0.421611,0.030833
0.178000,0.420729,0.031051
0.179000,0.419842,0.031268
0.180000,0.418951,0.031485
0.181000,0.418055,0.031702
0.182000,0.417154,0.031918
0.183000,0.416249,0.032135
0.184000,0.415339,0.032351
0.185000,0.414424,0.032567
0.186000,0.413505,0.032782
0.187000,0.412580,0.032998
0.188000,0.411652,0.033213
0.189000,0.410718,0.033428
0.190000,0.409780,0.033643
0.191000,0.408838,0.033857
0.192000,0.407891,0.034071
0.193000,0.406939,0.034285
0.194000,0.405982,0.034499
0.195000,0.405021,0.034712
0.196000,0.404056,0.034925
0.197000,0.403085,0.035138
0.198000,0.402110,0.035350
0.199000,0.401131,0.035563
0.200000,0.400147,0.035774
0.201000,0.399159,0.035986
0.202000,0.398165,0.036197
0.203000,0.397168,0.036408
0.204000,0.396166,0.036619
0.205000,0.395159,0.036829
0.206000,0.394148,0.037039
0.207000,0.393132,0.037249
0.208000,0.392112,0.037458
0.209000,0.391087,0.037667
0.210000,0.390058,0.037876
0.211000,0.389024,0.038084
0.212000,0.387986,0.038292
0.213000,0.386944,0.038500
0.214000,0.385897,0.038707
0.215000,0.384845,0.038914
0.216000,0.383789,0.039120
0.217000,0.382729,0.039326
0.218000,0.381664,0.039532
0.219000,0.380595,0.039738
0.220000,0.379521,0.039943
0.221000,0.378443,0.040147
0.222000,0.377361,0.040352
0.223000,0.376274,0.040556
0.224000,0.375183,0.040759
0.225000,0.374087,0.040962
0.226000,0.372988,0.041165
0.227000,0.371883,0.041367
0.228000,0.370775,0.041569
0.229000,0.369662,0.041770
0.230000,0.368545,0.041971
0.231000,0.367424,0.042172
0.232000,0.366298,0.042372
0.233000,0.365168,0.042572
0.234000,0.364034,0.042772
0.235000,0.362895,0.042970
0.236000,0.361752,0.043169
0.237000,0.360605,0.043367
0.238000,0.359454,0.043565
0.239000,0.358299,0.043762
0.240000,0.357139,0.043959
0.241000,0.355975,0.044155
0.242000,0.354807,0.044351
0.243000,0.353635,0.044546
0.244000,0.352458,0.044741
0.245000,0.351278,0.044936
0.246000,0.350093,0.045130
0.247000,0.348904,0.045323
0.248000,0.347711,0.045516
0.249000,0.346514,0.045709
0.250000,0.345312,0.045901
0.251000,0.344107,0.046093
0.252000,0.342898,0.046284
0.253000,0.341684,0.046475
0.254000,0.340466,0.046665
0.255000,0.339245,0.046855
0.256000,0.338019,0.047044
0.257000,0.336789,0.047233
0.258000,0.335555,0.047421
0.259000,0.334318,0.047609
0.260000,0.333076,0.047796
0.261000,0.331830,0.047983
0.262000,0.330580,0.048169
0.263000,0.329326,0.048355
0.264000,0.328069,0.048540
0.265000,0.326807,0.048725
0.266000,0.325541,0.048909
0.267000,0.324272,0.049093
0.268000,0.322999,0.049276
0.269000,0.321721,0.049458
0.270000,0.320440,0.049640
0.271000,0.319155,0.049822
0.272000,0.317866,0.050003
0.273000,0.316573,0.050183
0.274000,0.315277,0.050363
0.275000,0.313976,0.050543
0.276000,0.312672,0.050722
0.277000,0.311364,0.050900
0.278000,0.310052,0.051078
0.279000,0.308736,0.051255
0.280000,0.307417,0.051432
0.281000,0.306093,0.051608
0.282000,0.304767,0.051783
0.283000,0.303436,0.051958
0.284000,0.302101,0.052133
0.285000,0.300763,0.052307
0.286000,0.299422,0.052480
0.287000,0.298076,0.052653
0.288000,0.296727,0.052825
0.289000,0.295374,0.052996
0.290000,0.294018,0.053167
0.291000,0.292658,0.053338
0.292000,0.291294,0.053507
0.293000,0.289927,0.053677
0.294000,0.288556,0.053845
0.295000,0.287181,0.054013
0.296000,0.285803,0.054181
0.297000,0.284422,0.054348
0.298000,0.283037,0.054514
0.299000,0.281648,0.054680
0.300000,0.280256,0.054845
0.301000,0.278860,0.055009
0.302000,0.277461,0.055173
0.303000,0.276059,0.055336
0.304000,0.274653,0.055499
0.305000,0.273243,0.055661
0.306000,0.271830,0.055823
0.307000,0.270414,0.055983
0.308000,0.268994,0.056144
0.309000,0.267571,0.056303
0.310000,0.266145,0.056462
0.311000,0.264715,0.056621
0.312000,0.263282,0.056778
0.313000,0.261845,0.056935
0.314000,0.260405,0.057092
0.315000,0.258962,0.057248
0.316000,0.257516,0.057403
0.317000,0.256066,0.057557
0.318000,0.254613,0.057711
0.319000,0.253157,0.057864
0.320000,0.251697,0.058017
0.321000,0.250235,0.058169
0.322000,0.248769,0.058320
0.323000,0.247300,0.058471
0.324000,0.245828,0.058621
0.325000,0.244352,0.058770
0.326000,0.242874,0.058919
0.327000,0.241392,0.059067
0.328000,0.239907,0.059215
0.329000,0.238420,0.059361
0.330000,0.236929,0.059507
0.331000,0.235435,0.059653
0.332000,0.233938,0.059798
0.333000,0.232438,0.059942
0.334000,0.230934,0.060085
0.335000,0.229428,0.060228
0.336000,0.227919,0.060370
0.337000,0.226407,0.060511
0.338000,0.224892,0.060652
0.339000,0.223374,0.060792
0.340000,0.221853,0.060931
0.341000,0.220330,0.061070
0.342000,0.218803,0.061208
0.343000,0.217273,0.061345
0.344000,0.215741,0.061482
0.345000,0.214206,0.061618
0.346000,0.212668,0.061753
0.347000,0.211127,0.061888
0.348000,0.209583,0.062021
0.349000,0.208036,0.062155
0.350000,0.206487,0.062287
0.351000,0.204935,0.062419
0.352000,0.203380,0.062550
0.353000,0.201823,0.062680
0.354000,0.200263,0.062810
0.355000,0.198700,0.062939
0.356000,0.197134,0.063067
0.357000,0.195566,0.063194
0.358000,0.193995,0.063321
0.359000,0.192422,0.063447
0.360000,0.190846,0.063572
0.361000,0.189267,0.063697
0.362000,0.187686,0.063821
0.363000,0.186102,0.063944
0.364000,0.184516,0.064067
0.365000,0.182927,0.064188
0.366000,0.181336,0.064309
0.367000,0.179742,0.064430
0.368000,0.178146,0.064549
0.369000,0.176547,0.064668
0.370000,0.174946,0.064786
0.371000,0.173342,0.064903
0.372000,0.171736,0.065020
0.373000,0.170128,0.065136
0.374000,0.168517,0.065251
0.375000,0.166904,0.065366
0.376000,0.165289,0.065479
0.377000,0.163671,0.065592
0.378000,0.162051,0.065704
0.379000,0.160429,0.065816
0.380000,0.158804,0.065926
0.381000,0.157177,0.066036
0.382000,0.155548,0.066145
0.383000,0.153917,0.066254
0.384000,0.152284,0.066361
0.385000,0.150648,0.066468
